DELIVERY_START'load_forecast'coal_power_available'gas_power_available'nuclear_power_available'wind_power_forecasts_average'solar_power_forecasts_average'wind_power_forecasts_std'solar_power_forecasts_std'season_winter'season_spring'season_summer'season_fall'is_weekend'is_day'fossil_ratio'nuclear_ratio'green_ratio'controlable_ratio
2022-01-01 01:00:00+00:00'49439.0'3386.0'11487.0'44118.0'3035.0'0.0'79.24834795498744'0.0'1'0'0'0'1'0'0.3008353728837557'0.8923724185359736'0.061388782135560996'1.1932077914197294
2022-01-01 02:00:00+00:00'46511.0'3386.0'11487.0'44118.0'3143.0'0.0'61.77653170323712'0.0'1'0'0'0'1'0'0.3197738169465288'0.9485498054223732'0.06757541226806561'1.268323622368902
2022-01-01 03:00:00+00:00'45158.0'3386.0'11487.0'44118.0'3288.0'0.0'44.29111213752825'0.0'1'0'0'0'1'0'0.32935471012888085'0.9769697506532619'0.07281101908853359'1.3063244607821427
2022-01-01 04:00:00+00:00'44779.0'3386.0'11487.0'44118.0'3447.0'0.0'36.12758799558981'0.0'1'0'0'0'1'0'0.33214229884544094'0.9852386163156837'0.07697804774559504'1.3173809151611247
2022-01-01 05:00:00+00:00'45284.0'3386.0'11487.0'44118.0'3679.0'0.0'30.98302297094805'0.0'1'0'0'0'1'0'0.3284383005034891'0.9742513912198569'0.08124282307216676'1.302689691723346
2022-01-01 06:00:00+00:00'45648.0'3386.0'11487.0'44118.0'3902.0'0.0'27.62405175375482'0.0'1'0'0'0'1'0'0.3258193130038556'0.9664826498422713'0.08548019628461269'1.292301962846127
2022-01-01 07:00:00+00:00'45909.0'3386.0'11487.0'44118.0'4092.0'198.0'44.94470095340352'6.1953492993677495'1'0'0'0'1'0'0.323966978152432'0.9609880415604783'0.09344572959550415'1.2849550197129103
2022-01-01 08:00:00+00:00'47091.0'3386.0'11487.0'44118.0'4315.0'1012.0'30.505330081784955'23.23995671758656'1'0'0'0'1'1'0.3158352976152556'0.9368669172453336'0.11312140324053428'1.252702214860589
2022-01-01 09:00:00+00:00'48300.0'3386.0'11487.0'44118.0'4436.0'2401.0'35.83590962010974'44.45015384079769'1'0'0'0'1'1'0.3079296066252588'0.913416149068323'0.1415527950310559'1.2213457556935818
2022-01-01 10:00:00+00:00'49559.0'3386.0'11487.0'44118.0'4459.0'3699.0'57.67094509800192'53.42648880361061'1'0'0'0'1'1'0.30010694323937126'0.8902116669020763'0.16461187675296113'1.1903186101414476
2022-01-01 11:00:00+00:00'51367.0'3386.0'11487.0'44118.0'4135.0'4337.0'85.92893020253233'40.55823699614286'1'0'0'0'1'1'0.2895438705783869'0.8588782681488115'0.16493079214281542'1.1484221387271984
2022-01-01 12:00:00+00:00'50054.0'3386.0'11487.0'44118.0'3570.0'4391.0'64.74214818519671'22.229253381127087'1'0'0'0'1'1'0.2971390897830343'0.8814080792743837'0.15904822791385304'1.178547169057418
2022-01-01 13:00:00+00:00'47679.0'3386.0'11487.0'44118.0'3411.0'3765.0'43.2179459214943'13.812292053265669'1'0'0'0'1'1'0.3119402672035907'0.9253130308941043'0.15050651230101303'1.237253298097695
2022-01-01 14:00:00+00:00'46322.0'3386.0'11487.0'44118.0'3233.0'2361.0'170.99891394809652'40.17696149902488'1'0'0'0'1'1'0.3210785371961487'0.9524200164068909'0.12076335218686585'1.2734985536030397
2022-01-01 15:00:00+00:00'46171.0'3386.0'11487.0'44926.0'3263.0'925.0'157.4138313037146'23.668224985190268'1'0'0'0'1'1'0.32212860886703776'0.9730350219834961'0.09070628749648048'1.2951636308505339
2022-01-01 16:00:00+00:00'49193.0'3386.0'11487.0'44926.0'3717.0'126.0'143.2432496539665'6.366007415968655'1'0'0'0'1'1'0.30233976378753075'0.9132600166690383'0.07812087085560954'1.215599780456569
2022-01-01 17:00:00+00:00'53817.0'3386.0'11487.0'45033.0'4215.0'0.0'191.07250348310612'0.0'1'0'0'0'1'1'0.27636248768976346'0.8367801995651931'0.07832097664306817'1.1131426872549566
2022-01-01 18:00:00+00:00'55236.0'3386.0'11487.0'45033.0'4563.0'0.0'211.52473681750345'0.0'1'0'0'0'1'1'0.26926279962343397'0.8152835107538562'0.08260916793395612'1.08454631037729
2022-01-01 19:00:00+00:00'54017.0'3386.0'11487.0'44416.0'4764.0'0.0'203.5945005026429'0.0'1'0'0'0'1'1'0.2753392450524835'0.8222596589962419'0.08819445730047948'1.0975989040487255
