,load_forecast,coal_power_available,gas_power_available,nuclear_power_available,wind_power_forecasts_average,solar_power_forecasts_average,wind_power_forecasts_std,solar_power_forecasts_std,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,is_weekend,is_day,solar_ratio,wind_ratio,coal_ratio,gas_ratio,nuclear_ratio,fossil_ratio,green_ratio,controlable_ratio,all_offer,offer_minus_load,spot_id_delta_lag_1,spot_id_delta_lag_2,spot_id_delta_lag_3,spot_id_delta_lag_4,spot_id_delta_lag_5,spot_id_delta_lag_6,spot_id_delta_lag_7,spot_id_delta_lag_8,spot_id_delta_lag_9,spot_id_delta_lag_10,spot_id_delta_lag_11,spot_id_delta_lag_12,spot_id_delta_lag_13,spot_id_delta_lag_14,spot_id_delta_lag_15,spot_id_delta_lag_16,spot_id_delta_lag_17,spot_id_delta_lag_18
14,0.2172116047754776,1.4186246794750963,0.2876111150730114,1.2854992128037972,1.555824766150453,-0.2201528709495706,1.532739126928782,0.002121889071567,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.2471987134433955,1.3651329568430426,1.0329155854266203,-0.3763121678480356,0.7560309580249411,-0.1318978387270054,0.8625385203768103,0.5647701729731661,1.6063537525269662,1.2294190703445655,-1.212760594018137,-0.8837479556605873,-0.9715378095386564,-0.8767355932975006,-0.9672780450624212,-0.6976664045036823,-0.7975092483139768,-0.2052498955437069,-0.2415452534507736,-0.6669312846928375,-0.2736735085399032,-0.6540099735753989,-0.8741502702412315,-0.6695125698045445,-1.2727960020250837,-1.281663943407758,-1.5029083390661238,-0.6200228604097847
15,0.3533788602064478,1.4186246794750963,0.2876111150730114,1.424229516201705,1.6056063152487736,0.0699094428843573,2.328650196595733,0.2525033754343053,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.0044937524545153,1.3351947350723727,0.8483896998914798,-0.5126689788951074,0.7121173338794384,-0.2857863243446069,1.0314624199475932,0.4874552341479307,1.8407477315719023,1.284929741096525,-1.364121571322321,-1.212587858124392,-0.8836038244811867,-0.9714908527149796,-0.8766560217276266,-0.9671966841183456,-0.6975985617369735,-0.7974585256309572,-0.2051756451443365,-0.2415106767899353,-0.6669038836162584,-0.2736846264550883,-0.6540426769210556,-0.8741267120331834,-0.6694834808097715,-1.2727659428576583,-1.2816005755440154,-1.5027612572856164
16,0.4850877061826522,1.4186246794750963,0.2876111150730114,1.424229516201705,1.727682088515356,0.2407988680888421,2.791355773415655,0.206469641614672,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1237189219466681,1.373429060454071,0.6793147725935268,-0.6376081864621341,0.5632090231588542,-0.4267892218098153,1.162597456270545,0.3302105694683555,1.9498539644572863,1.2297494910038036,-1.3115917288068322,-1.3639431982967294,-1.212420394715724,-0.8835579420306446,-0.9714085789231374,-0.8765778848793635,-0.967121655302367,-0.6975497885205962,-0.79738559614695,-0.2051413042459915,-0.2414873204276988,-0.6669159709785928,-0.2737141288779688,-0.6540182425314568,-0.8740995507928953,-0.6694495782737363,-1.272702496153149,-1.281463991307478
17,0.2686690805658988,1.4186246794750963,0.2876111150730114,1.424229516201705,1.876709655879756,0.2575023457404083,2.6445148347982004,0.0668999309294826,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.1761816501135027,1.6338852698398878,0.9619692376575124,-0.4287385128520252,0.8121495348181385,-0.1910647463217038,1.40602943526065,0.5930875512271376,2.011962419818432,1.5438693977192566,-0.9889006623869074,-1.3114153121484196,-1.363764995748829,-1.2123704948003853,-0.8834781759016429,-0.9713270710254136,-0.876505272085648,-0.9670676231262304,-0.6974766361911608,-0.7973474163044688,-0.2051182936679507,-0.2414983589929397,-0.666948782944675,-0.2736881805158082,-0.6539890075582164,-0.8740669517520683,-0.6693807858823364,-1.2725663339893765
18,0.000328561507186,1.4186246794750963,0.2876111150730114,1.424229516201705,1.9112713683110736,0.0975344251542553,2.392177777359282,-0.0398370756440991,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.076595909441326,1.843375994042188,1.349396759192348,-0.1424459897452846,1.1533661698355149,0.1320369930503743,1.4895883758203912,0.953406562951602,1.965678532585701,1.8192199470841348,-0.3654045433266785,-0.9887362637011552,-1.311240836619878,-1.363713246712546,-1.2122813516245687,-0.8833997963388839,-0.9712519320876192,-0.8764530080248389,-0.9669950719536008,-0.6974391039989181,-0.7973187752879615,-0.2051292425711219,-0.2415275905273365,-0.6669243999303687,-0.2736553622957073,-0.6539550063155076,-0.8739999723736663,-0.6692732417664844
19,-0.1407615210300879,1.4186246794750963,0.2876111150730114,1.424229516201705,1.910320128519386,-0.2085889248831017,1.4605974446024812,-0.2120566061552971,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.197979136304738,1.9442722760644984,1.571820251341388,0.0219155468675322,1.3492598307691652,0.3175308291770997,1.3504407544678043,1.160266965015837,1.8519320128055188,1.8812288908011052,0.4185715057439619,-0.3652633654861634,-0.9885846832698384,-1.3111897293212065,-1.3636197875577385,-1.2121912741002876,-0.883327001663593,-0.9711978193211364,-0.8763802547372262,-0.9669557926339803,-0.6974114128672452,-0.7973311841675361,-0.2051581680130272,-0.2415015140403318,-0.6668952865513765,-0.2736189381588232,-0.6538860766343952,-0.8738827223221839
20,-0.1678835118799128,1.4186246794750963,0.2876111150730114,1.424229516201705,2.003541628104776,-0.5282035453313393,1.128703384997644,-0.3433998438305232,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.5096813022380898,2.059608066022126,1.6162012136771249,0.0547111976118766,1.3883472001099912,0.3545430839309063,1.1930956058432356,1.201542567804308,1.7685258304144018,1.8361815409250115,1.3485250084297968,0.4186834859905406,-0.3651560224253546,-0.9885375181682904,-1.311097768027345,-1.3635243258056544,-1.21210971339039,-0.8832746044965597,-0.9711252773608676,-0.8763415628194567,-0.9669255390547068,-0.6974235754410566,-0.797365093743939,-0.2051319467503855,-0.2414683925763302,-0.6668613675273949,-0.2735466385085655,-0.6537792674967883
40,1.3337645226033716,1.4186246794750963,0.2876111150730114,1.7972768265475063,1.4759206236486897,0.2497930483627623,-0.2870124204542698,0.0677013631622129,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009749475274681,0.7887031098261574,-0.2300205995937862,-1.3095684979608224,0.0212104599923297,-1.1851448473015864,0.619106900337821,-0.3096699771823609,2.1498622277946158,0.4085440125779905,0.1745616161532381,-0.7586696955369752,-1.047793692214827,-0.6797956346671936,-0.0158536427002808,-0.2161705652031805,-0.0498729170145643,-0.0456555981832795,-0.0430166943520516,0.050441259871029,0.2269708585625462,0.147203532082752,0.8263104874409057,-0.0454975843692867,0.7809356690897782,0.8359308585119127,0.9716293225800756,1.419002284594805
42,1.0252054349214597,1.4186246794750963,0.2876111150730114,1.7972768265475063,1.2327203169072125,0.0920736728450894,-0.3096633049707215,-0.1223175143406425,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0726669847915146,0.7120984878830243,0.0688269621072966,-1.088732812037546,0.2986220262237352,-0.9359158647806782,0.4944813370973609,-0.0204352102724095,2.00018323000856,0.635873426133634,0.817822984635451,0.6896182457741233,0.1747517162359426,-0.7584900846961188,-1.0476613552768217,-0.6796505489766106,-0.0157564675303658,-0.2160761813050243,-0.0497621852346782,-0.0455476854691111,-0.042961935782362,0.0504515216702035,0.226935686054943,0.1472051957747576,0.826383996715685,-0.0454247384451888,0.781060455357271,0.836049126385411
43,0.9398454705687572,1.4186246794750963,0.2876111150730114,1.7972768265475063,1.1661335314890764,-0.2525961640804973,0.0769830954076803,0.5368246856823214,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.3343345398522521,0.6899630811247182,0.1573828760011331,-1.0232937437848533,0.3808259252032246,-0.862063161448115,0.2701795870933618,0.0652721950943464,1.847529689341223,0.5957823861461077,0.2947943945645684,0.8179200955724725,0.6896507416542235,0.1747846677501746,-0.7584138852410269,-1.047577134503707,-0.6795831865374763,-0.015720998480575,-0.2160019550535748,-0.0497288517891624,-0.0455261922378721,-0.0429724849147401,0.0504247472663387,0.2269636273521247,0.1472419794054842,0.8264274285916654,-0.0453504168793767,0.7810991990367372
44,0.8997197854758657,1.4186246794750963,0.2876111150730114,1.7972768265475063,1.0710095523203107,-0.5542224239808943,0.7317587272414304,-0.0950812538289184,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5709714911200138,0.6269041368737334,0.1999613573123476,-0.9918300501464944,0.420350300510369,-0.8265541162543859,0.0339694907012753,0.1064810878399625,1.7001113441449407,0.506899228811125,-0.1365524366163452,0.2949109846379845,0.8179434880312648,0.689677402157309,0.1748342521597921,-0.7583399551403412,-1.0474999626339774,-0.6795347648387814,-0.0156463253389155,-0.2159675439747155,-0.0497073188052103,-0.045536747692018,-0.043000045600752,0.0504519859270248,0.2270011624200321,0.1472810848452989,0.8265094752068434,-0.0452724731089125
45,1.168153188064886,1.4186246794750963,0.2876111150730114,1.7972768265475063,1.0117156053051135,-0.7148327860151844,0.1753672702608155,-0.4272364023584195,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6994211401424671,0.4873320811741374,-0.0735992841295048,-1.1939797734052335,0.1664118525281215,-1.054694643606303,-0.1759083909299804,-0.1582801433134387,1.618370905767341,0.1129276627798573,-0.1006187835831017,-0.1364197819072334,0.2949714862444012,0.8179685810598406,0.6897123029022234,0.174874979719845,-0.7582704947330288,-1.0474443621088054,-0.6794615723270179,-0.0156132130461853,-0.2159444304654901,-0.0497178845672609,-0.045564329959571,-0.0429731788358221,0.0504878580057337,0.2270407759612528,0.1473571138817744,0.82654606305103
61,1.5286341691887573,1.4186246794750963,0.2876111150730114,1.5518309051512087,0.6194877311992364,-0.526918662435065,1.4135533812722036,-0.4463479583362613,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.5667086567249352,0.0887764933402543,-0.403244067439486,-1.437573301218935,-0.30449505721127,-1.3296074903768182,-0.379803151481989,-0.6084371849696011,1.3492342658690435,-0.5636637071195215,0.3946993325850219,-0.1091761257783654,-0.0714468016763125,0.0439272576242882,-0.1743530610880243,-0.3671242007183252,-0.023538580857039,0.2163003586588584,0.1409291417055331,0.4523599804026501,0.7680309821585375,0.9237287339776844,0.2608172700753859,-0.4057491112694587,-0.3739166392914386,-0.0553839777285645,-0.0999017310612617,-0.1357457853686006
67,1.143724819593982,1.4186246794750963,0.2876111150730114,1.5518309051512087,0.4171907355003282,-0.3345074487179852,2.686505560093416,0.0242916969000375,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.4102535421400128,0.0277407345924427,-0.0497625908558124,-1.1763654670368795,0.0125733844415603,-1.0348156297791555,-0.3032631197584101,-0.2751181182013009,1.3445939789742454,-0.1115381050623914,0.7923016445482427,0.6250637754502948,0.426204267289962,0.2957040134093279,0.0124224636275798,0.0152924887868687,0.3950107929888916,-0.108852596448087,-0.071142506049706,0.0442158577078955,-0.1740762849967105,-0.3669003667850524,-0.0234117554927592,0.2164187723036937,0.1410091746829307,0.4524535668540755,0.7681990154605896,0.923943053618538
68,1.149390714942747,1.4186246794750963,0.2876111150730114,1.5518309051512087,0.5078755956412181,-0.5885930414562324,3.3315974957211583,-0.3427543875548045,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.6034975734923834,0.0975996634480656,-0.0553093073518629,-1.180464255513034,0.0075980494602481,-1.0394414078874783,-0.4020866358557797,-0.2803484527126319,1.2845082127723708,-0.1738774694385998,0.6943982473956954,0.7923997059756847,0.6251008516738707,0.4262341465692054,0.2957501494519183,0.0124689693765108,0.0153413230854315,0.3950382471095534,-0.1087781310355154,-0.0711090340083138,0.0442364975063582,-0.1740871573707305,-0.3669306537372539,-0.0233848107527893,0.2164562080241591,0.1410482404170121,0.4525322998724619,0.7682383692114273
85,2.210770815767915,0.2534263271852081,0.2876111150730114,1.7172401130487138,0.5839747789762306,-0.3977879313594956,-0.3776528258528056,-0.4497252841435457,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.499190672848262,-0.0812860216948189,-1.743948906721929,-1.8279218071666616,-0.6783251205393197,-1.924399409203538,-0.458183689539499,-1.0695435130456117,1.4438247294937767,-1.284972006235756,0.7665432249700908,-0.2775430366771936,0.1698612021564511,1.1287757377551435,0.7407019532889182,0.7797017942576373,1.0704410241362767,0.8403890331307876,1.1568385590145225,1.6219132382969352,0.6881715898100994,0.9845955307797264,1.030755332333584,0.7803149612557747,0.8696531486137893,0.8471163404413137,1.153481053862258,0.6949952197244895
